AnimalBreed,AnimalDesexed,AnimalGender,locality
Shih Tzu X,Y,M,KLEMZIG
Kelpie X,N,M,KLEMZIG
Blue Heeler X,N,F,KLEMZIG
Blue Heeler X,N,M,KLEMZIG
Spoodle,Y,M,KLEMZIG
Rottweiler X,Y,M,KLEMZIG
Maltese X,Y,M,KLEMZIG
Boxer X,N,M,KLEMZIG
Pug,Y,M,KLEMZIG
Tenterfield Terrier,N,M,WINDSOR GARDENS
German Shepherd,N,M,KILBURN
Rottweiler,Y,M,WINDSOR GARDENS
Cavoodle,Y,F,WINDSOR GARDENS
Boxer,Y,F,WINDSOR GARDENS
Bull Mastiff,Y,F,WINDSOR GARDENS
Rottweiler,N,M,WINDSOR GARDENS
Jack Russell Terrier,Y,M,WINDSOR GARDENS
Miniature Pinscher,Y,F,WINDSOR GARDENS
Pomeranian,Y,M,WINDSOR GARDENS
Pomeranian,Y,M,WINDSOR GARDENS
Doberman,Y,M,WINGFIELD
Doberman,Y,F,WINGFIELD
Tenterfield Terrier,Y,F,WOODVILLE GARDENS
German Shepherd,N,M,WOODVILLE GARDENS
German Shepherd,N,F,WOODVILLE GARDENS
Kelpie,Y,F,BROADVIEW
Cocker Spaniel,Y,F,BROADVIEW
Labrador,Y,F,BROADVIEW
Portuguese Water Dog,N,F,BROADVIEW
Belgian Shepherd X,Y,F,BLAIR ATHOL
Staffordshire Bull Terrier X,Y,F,BLAIR ATHOL
Whippet,N,M,BLAIR ATHOL
Shar Pei X,Y,F,BLAIR ATHOL
Maltese X,Y,F,SEFTON PARK
Silky Terrier X,Y,F,SEFTON PARK
Fox Terrier,N,M,SEFTON PARK
Maltese X,Y,M,SEFTON PARK
Doberman,Y,F,SEFTON PARK
Labrador,Y,F,SEFTON PARK
Maltese X,N,M,SEFTON PARK
Dalmation X,N,F,SEFTON PARK
Cocker Spaniel X,Y,M,SEFTON PARK
Labradoodle,N,F,SEFTON PARK
Labrador,Y,F,SEFTON PARK
Shih Tzu X,Y,M,SEFTON PARK
Kelpie X,N,F,SEFTON PARK
Pomeranian X,Y,M,SEFTON PARK
Jack Russell Terrier X,Y,M,SEFTON PARK
Blue Heeler,Y,M,NORTHFIELD
Kelpie X,Y,F,NORTHFIELD
Kelpie X,Y,F,NORTHFIELD
Doberman,Y,F,NORTHFIELD
Doberman,Y,M,NORTHFIELD
American Staffordshire Bull Terrier X,Y,F,CROYDON PARK
Rottweiler X,Y,F,CROYDON PARK
Malinois X,N,M,CROYDON PARK
Maltese X,Y,M,CROYDON PARK
