OBJECTID,CREATED,MODIFIEDLAST,MODIFIEDBY,SERIAL_NO,RESERVE_NAME,LOCATION,SUBURB,ACTIVE_PASSIVE,DESCRIPTION,COMPKEY,COMPTYPE,Shape_STArea__,Shape_STLength__
1,2005-11-02T09:46:13.000Z,,cm,1,Alberton Oval,Cnr Brougham Pl & Queen St,ALBERTON,Active,,,,57864.421745,959.08053
2,2005-11-02T09:46:13.000Z,,cm,2,Company Square,"Todd St, Fussell Pl",ALBERTON,Passive,,,,10577.265098,482.538441
3,2005-11-02T09:46:13.000Z,,cm,3,Pioneer Park,Lot 5 Parker St,ALBERTON,Passive,,,,11124.181026,476.224463
4,2005-11-02T09:46:13.000Z,,cm,4,Port Rd Median,Port Rd Median,PORT ADELAIDE,Passive,,,,73601.745984,5438.910369
5,2005-11-02T09:46:14.000Z,,cm,5,St Patricks Square Reserve,"Lot 101 Queen St, Wellington St, Melbourne St",ALBERTON,Passive,,,,16365.157923,515.963985
6,2005-11-02T09:46:14.000Z,,cm,12,Birkenhead Reserve,"Wells St, Heath St, Fletcher St",BIRKENHEAD,Passive,,,,14904.916948,646.591386
7,2005-11-02T09:46:14.000Z,,cm,13,Cruikshanks Corner,"Front of pub, Elder Rd",BIRKENHEAD,Passive,,,,425.74833,148.788069
8,2005-11-02T09:46:14.000Z,2008-05-16T09:02:50.000Z,cm,363,Blair Athol Meals on Wheels,"51 Barton St, cnr Alice St",BLAIR ATHOL,Passive,,,,1529.029362,159.7957
9,2005-11-02T09:46:14.000Z,,cm,16,Blair Athol Reserve,Cnr Lionel Ave & Lily St,BLAIR ATHOL,Active,,,,56159.85275,956.812559
10,2005-11-02T09:46:14.000Z,2008-05-16T09:08:22.000Z,cm,330,Dingley Dell Reserve,Cnr Angwin Ave & Athol Ave,BLAIR ATHOL,Passive,,,,3362.253483,264.584755
11,2005-11-02T09:46:15.000Z,,cm,18,Jaffrey St Rose Gardens,Cnr Sylvia St & Jaffrey St,BLAIR ATHOL,Passive,,,,4632.849676,453.620752
12,2005-11-02T09:46:15.000Z,,cm,19,Rushworth Reserve,Cnr Rushworth St & Anson St,BLAIR ATHOL,Active,,,,16978.789133,522.070728
13,2005-11-02T09:46:15.000Z,,cm,,Broadview Oval,"Myponga Tce, Collingrove Ave",BROADVIEW,Active,Prospect Council Area,,,58610.368705,1007.028795
14,2005-11-02T09:46:15.000Z,2008-05-16T09:09:38.000Z,cm,20,Galway Ave median strip,Galway Ave,BROADVIEW,Passive,Median strip,,,3275.491224,827.752377
15,2005-11-02T09:46:15.000Z,,cm,28,Plano Park,Cnr Grand Junction Rd & Hampstead Rd,CLEARVIEW,Passive,,,,2714.024098,207.892244
16,2005-11-02T09:46:15.000Z,,cm,523,Austral Ave Reserve,Cnr Austral & Guildford Ave,CLEARVIEW,Passive,,,,1106.282197,235.589505
17,2005-11-02T09:46:15.000Z,,cm,24,Branson Reserve,Cnr Blyth & Branson Ave,CLEARVIEW,Passive,,,,4808.673106,362.057761
