Breed Description,Animal Neutered,Animal Sex,Suburb
Terrier Jack Russell,Y,M,SEFTON PARK
Rottweiler,N,F,SEFTON PARK
Terrier Jack Russell,Y,M,SEFTON PARK
Brittany,Y,M,COLLINSWOOD
Border Collie,Y,F,SEFTON PARK
Terrier S`Shire Bull,N,M,COLLINSWOOD
Terrier Jack Russell,Y,M,BROADVIEW
Fox Terrier,Y,M,BROADVIEW
Poodle,Y,M,BROADVIEW
Australian Cattle Dog,N,M,BROADVIEW
German Shepherd,Y,M,NAILSWORTH
Poodle,Y,M,Nailsworth
Terrier S`Shire Bull,Y,F,NAILSWORTH
Terrier Westhighland,Y,F,NEWTOWN
Maltese Terrier,Y,M,NAILSWORTH
Poodle,Y,M,SEFTON PARK
Chihuahua,Y,F,SEFTON PARK
Maltese Terrier,Y,F,SEFTON PARK
Rhodesian Ridgeback,N,M,SEFTON PARK
Shihtzu,Y,M,Nailsworth
Collie,Y,F,NAILSWORTH
Terrier S`Shire Bull,Y,M,NAILSWORTH
German Shepherd,Y,F,Nailsworth
Poodle,Y,F,NAILSWORTH
Kelpie,Y,F,NAILSWORTH
German Shepherd,N,F,COLLINSWOOD
Labrador,Y,M,COLLINSWOOD
Schnauser,Y,M,COLLINSWOOD
Spaniel Cocker,Y,M,NAILSWORTH
Bull Terrier,Y,F,Nailsworth
Terrier,Y,M,NAILSWORTH
Pyrenean Mountian Dog,Y,M,COLLINSWOOD
Poodle,N,F,Collinswood
Tenterfield Terrier,Y,F,COLLINSWOOD
Tenterfield Terrier,Y,M,COLLINSWOOD
Terrier Jack Russell,Y,M,NAILSWORTH
Spaniel English Springer,Y,F,NAILSWORTH
Terrier Fox Mini,Y,F,Nailsworth
Maltese Terrier,Y,F,COLLINSWOOD
Kelpie,Y,M,NAILSWORTH
Beagle,Y,F,Nailsworth
Schnauser,Y,F,Nailsworth
Irish Wolfhound,Y,M,Nailsworth
Terrier S`Shire Bull,Y,F,BROADVIEW
Heeler,Y,F,BROADVIEW
Tenterfield Terrier,Y,F,BROADVIEW
Bull Terrier,Y,F,BROADVIEW
Beagle,Y,M,NAILSWORTH
Pomeranian,Y,M,COLLINSWOOD
Terrier S`Shire Bull,Y,F,COLLINSWOOD
Poodle,Y,M,SEFTON PARK
Maltese Terrier,Y,F,COLLINSWOOD
Terrier Jack Russell,Y,M,Collinswood
Terrier Jack Russell,Y,M,Collinswood
Maltese Terrier,Y,M,Nailsworth
Maltese Terrier,Y,F,Nailsworth
Collie,Y,M,NAILSWORTH
Terrier Westhighland,Y,M,NAILSWORTH
Terrier Westhighland,Y,M,NAILSWORTH
Weimaraner,Y,M,NAILSWORTH
Kelpie,Y,M,NAILSWORTH
Terrier Jack Russell,Y,M,NAILSWORTH
Maltese Terrier,Y,M,BROADVIEW
Terrier,Y,M,SEFTON PARK
Maltese Terrier,Y,M,BROADVIEW
Retriever Golden,N,M,BROADVIEW
Terrier S`Shire Bull,Y,F,BROADVIEW
Labrador,Y,F,NAILSWORTH
Border Collie,Y,M,NAILSWORTH
Labrador,Y,M,BROADVIEW
Border Collie,Y,M,BROADVIEW
Maltese Terrier,Y,F,BROADVIEW
Australian Cattle Dog,N,F,BROADVIEW
Blue Heeler,N,F,BROADVIEW
Maltese Terrier,Y,M,Nailsworth
Terrier Jack Russell,Y,M,NAILSWORTH
Maltese Terrier,Y,M,NAILSWORTH
German Shepherd,Y,F,Nailsworth
Terrier S`Shire Bull,N,M,NAILSWORTH
Retriever Golden,Y,M,BROADVIEW
Poodle Toy,Y,M,NAILSWORTH
Chihuahua,N,F,Nailsworth
Chihuahua,Y,M,NAILSWORTH
Schnauser,Y,F,COLLINSWOOD
Retriever Golden,Y,F,BROADVIEW
Terrier Jack Russell,N,F,BROADVIEW
Maltese Terrier,Y,F,Broadview
Retriever Golden,Y,F,BROADVIEW
Aust Terrier Silky,Y,F,BROADVIEW
Labrador,Y,F,COLLINSWOOD
Cavalier King Charles Spaniel,Y,F,PROSPECT
Terrier Jack Russell,Y,F,Prospect
Maltese Terrier,Y,F,Prospect
Maltese Terrier,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Whippet,Y,F,COLLINSWOOD
Greyhound Italian,Y,M,COLLINSWOOD
Schnauser,Y,M,COLLINSWOOD
Poodle Toy,Y,F,NAILSWORTH
Spaniel,Y,M,COLLINSWOOD
Heeler,Y,F,COLLINSWOOD
German Shepherd,Y,M,Collinswood
Maltese Terrier,Y,F,MEDINDIE GARDENS
Labrador,Y,F,COLLINSWOOD
German Shepherd,N,M,MEDINDIE GARDENS
German Shepherd,Y,F,MEDINDIE GARDENS
Maltese Terrier,N,M,MEDINDIE GARDENS
Maltese Terrier,Y,M,MEDINDIE GARDENS
Terrier Jack Russell,Y,M,MEDINDIE GARDENS
Kelpie,N,M,Nailsworth
Terrier Jack Russell,N,M,Nailsworth
Poodle,Y,F,NAILSWORTH
Poodle Toy,Y,M,Nailsworth
Maltese Terrier,Y,F,NAILSWORTH
Pomeranian,Y,M,BROADVIEW
Maltese Terrier,N,M,BROADVIEW
