Breed Description,,,Suburb
Australian Kelpie,,Male,CLARENDON      
Labrador Retriever,,Male,KANGARILLA     
Labrador Retriever,Desexed,Female,KANGARILLA     
Labrador Retriever,Desexed,Female,KANGARILLA     
Dachshund,Desexed,Male,ABERFOYLE PARK 
West Highland White Terrier,Desexed,Female,FLAGSTAFF HILL 
Australian Silky Terrier X,,Female,MCLAREN VALE   
Retriever,Desexed,,SELLICKS HILL  
Retriever,Desexed,,SELLICKS HILL  
Retriever,,Male,SELLICKS HILL  
Yorkshire Terrier,,Male,SELLICKS HILL  
Retriever,,Male,SELLICKS HILL  
Australian Kelpie X,,Male,WILLUNGA SOUTH 
Rare,Desexed,Female,WILLUNGA SOUTH 
Border Collie,Desexed,Female,OLD REYNELLA   
Irish Setter,,Female,WOODCROFT      
West Highland White Terrier,,Female,HACKHAM        
Maltese X,Desexed,Male,MORPHETT VALE  
Chihuahua,,Male,HACKHAM        
Rottweiler,,Male,SEAFORD RISE   
Cavalier King Charles Spaniel X,Desexed,,SEAFORD RISE   
Chihuahua,Desexed,,HUNTFIELD HEIGH
Australian Cattle Dog,Desexed,Male,CHRISTIES BEACH
Retriever,Desexed,,O'SULLIVAN BEAC
Retriever,Desexed,,O'SULLIVAN BEAC
Fox Terrier (Smooth),,Female,NOARLUNGA DOWNS
German Shepherd Dog,,Female,REYNELLA       
Greyhound,,Male,MCLAREN VALE   
Greyhound,,Female,MCLAREN VALE   
Irish Setter,,Male,WOODCROFT      
Bassett Hound,Desexed,,WOODCROFT      
Bassett Hound,,Male,WOODCROFT      
Corgi (see either Welsh Cardigan/ Welsh Pembroke),Desexed,,ONKAPARINGA HIL
Chihuahua,Desexed,Male,ONKAPARINGA HIL
Labrador Retriever X,Desexed,Female,O'SULLIVAN BEAC
Pomeranian X,Desexed,Male,MORPHETT VALE  
Jack Russell Terrier,,Female,MOANA          
Fox Terrier,,Male,SEAFORD RISE   
Australian Terrier,Desexed,Female,O'SULLIVAN BEAC
Collie (Rough) X,Desexed,Female,SELLICKS BEACH 
Pomeranian,,Male,FLAGSTAFF HILL 
Labrador Retriever X,,Female,SEAFORD        
Maltese X,,Male,HAPPY VALLEY   
Chihuahua X,Desexed,Male,WOODCROFT      
Maltese X,Desexed,Male,O'HALLORAN HILL
Maltese,Desexed,Male,SEAFORD RISE   
Australian Terrier,,Male,HAPPY VALLEY   
Jack Russell Terrier,Desexed,Female,WILLUNGA       
Australian Silky Terrier,Desexed,Female,OLD REYNELLA   
Shih Tzu X,Desexed,Female,WOODCROFT      
Border Collie,,Male,MCLAREN VALE   
Tenterfield Terrier,Desexed,Female,ONKAPARINGA HIL
Tenterfield Terrier,Desexed,Female,MORPHETT VALE  
Poodle (Standard),,Male,REYNELLA EAST  
Australian Kelpie,Desexed,Female,CLARENDON      
