Breed_Description,,Gender,Suburb
,,,
MALTESE CROSS,,Male,North Adelaide
,,,
POODLE MINATURE CROSS,,Male,North Adelaide
MALTESE,,Male,North Adelaide
MALTESE CROSS,,Male,North Adelaide
CHIHUAHUA,,Male,North Adelaide
SOFT COATED WHEATON TERRIER,,Male,North Adelaide
MALTESE CROSS,,Male,North Adelaide
,,,
,,,
,,,
AUSTRALIAN KELPIE CROSS,,Male,North Adelaide
STAFFORDSHIRE BULL TERRIER CROSS,,Male,North Adelaide
POODLE MINIATURE,,Female,Adelaide
,,,
TIBETAN SPANIEL,,Male,North Adelaide
,,,
MALTESE CROSS,,Female,Adelaide
LABRADOR RETRIEVER CROSS,,Male,Adelaide
FOX TERRIER (SMOOTH),,Male,North Adelaide
DALMATION,,Female,North Adelaide
MALTESE CROSS,,Female,North Adelaide
JACK RUSSELL TERRIER,,Female,Adelaide
MALTESE,,Male,North Adelaide
,,,
MALTESE CROSS,,Female,Adelaide
FOX TERRIER WIRE,,Male,Adelaide
MALTESE CROSS,,Male,Adelaide
CROSS BREED UNKNOWN,,Female,Adelaide
CROSS BREED UNKNOWN,,Female,Adelaide
AUSTRALIAN SILKY TERRIER CROSS,,male,North Adelaide
WEST HIGHLAND WHITE TERRIER,,Female,Adelaide
AUSTRALIAN KELPIE CROSS,,Female,North Adelaide
MALTESE CROSS,,Male,Adelaide
MUNSTERLANDER,,Male,North Adelaide
WEST HIGHLAND WHITE TERRIER,,Female,Adelaide
SCHNAUZER MINIATURE,,Male,Adelaide
COCKER SPANIEL CROSS,,Female,Adelaide
MALTESE CROSS,,Female,North Adelaide
MALTESE CROSS,,Female,North Adelaide
MALTESE CROSS,,Male,North Adelaide
SHIH TZU,,Female,North Adelaide
SCHNAUZER MINIATURE,,Female,Adelaide
MALTESE CROSS,,Female,North Adelaide
FOX TERRIER CROSS,,Female,North Adelaide
MALTESE CROSS,,Male,North Adelaide
MALTESE CROSS,,Female,North Adelaide
YORKSHIRE TERRIER CROSS,,Female,North Adelaide
POODLE MINIATURE,,Female,Adelaide
GERMAN SHEPHERD DOG,,Female,North Adelaide
POODLE MINATURE CROSS,,Male,Adelaide
SHIH TZU CROSS,,Female,Adelaide
,,,
MALTESE CROSS,,Male,Adelaide
MALTESE CROSS,,Male,Adelaide
FOX TERRIER (SMOOTH),,Female,Adelaide
