DOG_BREED,,,DOG_SUBURB
West Highland White Terrier Cross,yes,Female,GLENUNGA
Cocker Spaniel Cross,no,Female,HAZELWOOD PARK
Border Collie,yes,Female,KENSINGTON GARDENS
Staffordshire Bull Terrier,yes,Female,KENSINGTON PARK
Jack Russell Terrier,yes,Female,DULWICH
Border Collie,yes,Female,TOORAK GARDENS
Welsh Corgi Cardigan,yes,Female,KENSINGTON PARK
Jack Russell Terrier Cross,yes,Female,GLENSIDE
Labrador Retriever,yes,Female,ST GEORGES
Poodle Standard Cross,yes,Female,GLENUNGA
Labrador Retriever,yes,Female,DULWICH
Papillon,yes,Female,GLEN OSMOND
Golden Retriever,no,Female,BEAUMONT
West Highland White Terrier,yes,Male,ST GEORGES
Pointer,yes,Male,BURNSIDE
Labrador Retriever,no,Male,BURNSIDE
Chihuahua,no,Male,SKYE
Border Terrier,yes,Female,TOORAK GARDENS
Schnauzer Miniature,yes,Female,MAGILL
Jack Russell Terrier,yes,Male,GLEN OSMOND
Labrador Retriever,no,Female,MAGILL
Border Collie,yes,Female,KENSINGTON GARDENS
French Bulldog,yes,Female,GLEN OSMOND
Belgian Shepherd Dog,yes,Female,KENSINGTON PARK
Great Dane,yes,Female,ROSE PARK
Maltese,no,Male,ROSE PARK
Australian Kelpie,yes,Male,DULWICH
West Highland White Terrier,yes,Male,STONYFELL
Golden Retriever Cross,yes,Male,DULWICH
Yorkshire Terrier,yes,Male,TOORAK GARDENS
Labrador Retriever Cross,yes,Male,DULWICH
Cavalier King Charles Spaniel Cross,no,Male,DULWICH
Dachshund,yes,Male,ERINDALE
Cocker Spaniel,no,Male,BURNSIDE
German Shepherd Dog,no,Male,TOORAK GARDENS
Samoyed,yes,Male,STONYFELL
Border Terrier,yes,Male,EASTWOOD
Labrador Retriever,yes,Male,TUSMORE
Labrador Retriever,yes,Male,STONYFELL
Schnauzer,yes,Male,KENSINGTON PARK
Cocker Spaniel Cross,yes,Male,BEAUMONT
Maltese Cross,yes,Male,BEAUMONT
Cavalier King Charles Spaniel Cross,yes,Male,HAZELWOOD PARK
Golden Retriever,yes,Female,STONYFELL
Australian Terrier,yes,Male,BEULAH PARK
Australian Silky Terrier,yes,Male,FREWVILLE
Cavalier King Charles Spaniel Cross,yes,Male,HAZELWOOD PARK
Maltese Cross,yes,Female,KENSINGTON GARDENS
Maltese,yes,Male,DULWICH
Norwegian Elkhound,yes,Male,LEABROOK
Labrador Retriever,yes,Male,GLEN OSMOND
Maltese Cross,yes,Male,DULWICH
Border Terrier,yes,Male,TOORAK GARDENS
Cavalier King Charles Spaniel Cross,yes,Male,GLENUNGA
Cocker Spaniel,no,Male,ROSSLYN PARK
King Charles Spaniel Cross,no,Male,DULWICH
Bichon Frise,yes,Female,LEABROOK
Dachshund Minature,yes,Male,GLEN OSMOND
Poodle Miniature Cross,no,Male,LINDEN PARK
Fox Terrier Smooth Cross,yes,Female,GLEN OSMOND
Labrador Retriever,yes,Female,ROSSLYN PARK
Australian Kelpie Cross,yes,Female,TOORAK GARDENS
Golden Retriever,yes,Male,ST GEORGES
Maltese Cross,no,Female,ROSSLYN PARK
Golden Retriever Cross,yes,Female,BEAUMONT
Border Collie,yes,Female,LINDEN PARK
Chihuahua,yes,Female,KENSINGTON GARDENS
Australian Kelpie,no,Female,KENSINGTON PARK
Poodle Miniature Cross,yes,Female,BEAUMONT
Bichon Frise,yes,Female,BEAUMONT
Beagle,yes,Female,BURNSIDE
Maltese Cross,yes,Female,MOUNT OSMOND
Maltese Cross,yes,Female,TUSMORE
Golden Retriever,yes,Female,WATTLE PARK
Labrador Retriever Cross,yes,Female,TUSMORE
Mixed Breed,yes,Female,LINDEN PARK
Dalmatian,no,Male,GLEN OSMOND
Poodle Standard,yes,Male,GLENUNGA
German Shepherd Dog Cross,yes,Female,HAZELWOOD PARK
Golden Retriever,yes,Male,GLENSIDE
Pointer,yes,Female,HAZELWOOD PARK
Staffordshire Bull Terrier Cross,no,Female,TOORAK GARDENS
Jack Russell Terrier,yes,Female,TOORAK GARDENS
Cavalier King Charles Spaniel Cross,yes,Female,ERINDALE
Siberian Husky,no,Female,BEAUMONT
Maremma Sheepdog Cross,yes,Male,KENSINGTON GARDENS
English Toy Terrier,yes,Female,BEULAH PARK
Cavalier King Charles Spaniel,yes,Female,TOORAK GARDENS
Boxer,yes,Female,KENSINGTON GARDENS
West Highland White Terrier Cross,yes,Male,ERINDALE
Labrador Retriever,yes,Male,KENSINGTON PARK
West Highland White Terrier,yes,Male,GLENSIDE
Cavalier King Charles Spaniel Cross,yes,Male,GLEN OSMOND
West Highland White Terrier,no,Male,STONYFELL
Schnauzer Cross,yes,Male,KENSINGTON GARDENS
Australian Cattle Dog Cross,yes,Female,BEULAH PARK
Beagle Cross,yes,Female,ERINDALE
Tibetan Spaniel Cross,yes,Female,WATTLE PARK
Dachshund,yes,Female,BEAUMONT
Tenterfield Terrier cross,yes,Female,LINDEN PARK
Maltese Cross,yes,Female,WATTLE PARK
Poodle Standard Cross,yes,Female,KENSINGTON PARK
Poodle Miniature,yes,Female,BURNSIDE
Australian Silky Terrier,yes,Female,GLENSIDE
Maltese Cross,yes,Female,BEULAH PARK
Shih-Tzu Cross,yes,Female,LEABROOK
Cavalier King Charles Spaniel Cross,yes,Female,BEAUMONT
Shih-Tzu,no,Female,BEAUMONT
Pug Cross,yes,Female,HAZELWOOD PARK
Poodle Toy Cross,yes,Female,ROSSLYN PARK
Cocker Spaniel,yes,Female,HAZELWOOD PARK
Jack Russell Terrier,yes,Female,BURNSIDE
Cavalier King Charles Spaniel,yes,Female,HAZELWOOD PARK
Labrador Retriever,yes,Female,DULWICH
Golden Retriever,yes,Female,TOORAK GARDENS
Australian Kelpie Cross,no,Female,TUSMORE
Rottweiler Cross,yes,Unknown,LINDEN PARK
Dalmatian,yes,Male,BURNSIDE
Boston Terrier,yes,Female,ROSE PARK
Poodle Toy Cross,yes,Female,TUSMORE
Bichon Frise Cross,no,Female,MAGILL
Australian Shepherd,yes,Female,KENSINGTON PARK
Pug,yes,Female,ST GEORGES
Maltese Cross,yes,Female,WATTLE PARK
Boxer,yes,Female,BEAUMONT
Siberian Husky,yes,Male,KENSINGTON GARDENS
Schipperke,yes,Male,GLENUNGA
Labrador Retriever,yes,Male,MOUNT OSMOND
Bernese Mountain Dog,yes,Male,BURNSIDE
Caine Terrier,yes,Male,BURNSIDE
Labrador Retriever,yes,Male,ROSE PARK
Jack Russell Terrier,yes,Male,HAZELWOOD PARK
Cross Breed,yes,Male,DULWICH
Jack Russell Terrier,yes,Male,GLENSIDE
Australian Kelpie Cross,yes,Male,LINDEN PARK
Cavalier King Charles Spaniel Cross,yes,Male,WATTLE PARK
Boxer,yes,Male,ROSE PARK
Cavalier King Charles Spaniel,yes,Male,TOORAK GARDENS
Australian Kelpie,yes,Male,FREWVILLE
West Highland White Terrier,yes,Male,HAZELWOOD PARK
Shih-Tzu Cross,yes,Male,DULWICH
Whippet,yes,Male,MAGILL
Lagotto Romaenolo,yes,Male,TOORAK GARDENS
Maltese Cross,yes,Male,KENSINGTON PARK
Labrador Retriever Cross,yes,Male,ERINDALE
Poodle Miniature,yes,Male,BURNSIDE
West Highland White Terrier,yes,Male,GLEN OSMOND
Yorkshire Terrier,yes,Male,TOORAK GARDENS
Jack Russell Terrier,yes,Male,ROSE PARK
German Short-haired Pointer,yes,Male,WATTLE PARK
Labrador Retriever Cross,yes,Male,BEULAH PARK
Border Collie,yes,Male,ERINDALE
Whippet,yes,Male,GLENUNGA
Cavalier King Charles Spaniel,no,Male,KENSINGTON GARDENS
Golden Retriever,no,Male,ST GEORGES
Maltese Cross,no,Male,HAZELWOOD PARK
Labrador Retriever,yes,Male,ROSSLYN PARK
Poodle Toy Cross,yes,Male,ROSE PARK
Cavalier King Charles Spaniel Cross,no,Male,BEAUMONT
Maltese Cross,yes,Male,MAGILL
Curly-coated Retriever,no,Male,MAGILL
Welsh Corgi (Pembroke),yes,Male,LINDEN PARK
Chihuahua Cross,yes,Female,BURNSIDE
Pug,yes,Male,KENSINGTON GARDENS
Beagle,no,Male,KENSINGTON PARK
Boxer,yes,Male,KENSINGTON PARK
German Shepherd Dog,yes,Male,GLENUNGA
Alaskan Malamute,no,Male,WATTLE PARK
Akita,no,Male,MAGILL
Schnauzer Cross,yes,Male,ROSE PARK
Beagle,yes,Male,LEABROOK
Australian Kelpie,yes,Male,TOORAK GARDENS
St Bernard,yes,Male,ROSSLYN PARK
Poodle Miniature,yes,Male,MOUNT OSMOND
Australian Shepherd,yes,Female,WATTLE PARK
Schnauzer,yes,Male,DULWICH
Shar-Pei,yes,Female,KENSINGTON PARK
German Shepherd Dog,yes,Female,LINDEN PARK
German Short-haired Pointer,yes,Male,MAGILL
Labrador Retriever Cross,yes,Male,TUSMORE
Staffordshire Bull Terrier Cross,yes,Female,LINDEN PARK
Hungarian Vizsla,yes,Female,EASTWOOD
American Staffordshire Terrier,yes,Female,KENSINGTON PARK
Pug,yes,Female,BEAUMONT
Golden Retriever,no,Female,KENSINGTON PARK
Cavalier King Charles Spaniel,yes,Male,ST GEORGES
Labrador Retriever,yes,Male,LEAWOOD GARDENS
Welsh Corgi (Pembroke),yes,Male,TUSMORE
Beagle,yes,Male,LEABROOK
Whippet,yes,Male,BURNSIDE
Golden Retriever,yes,Female,KENSINGTON PARK
Dalmatian,yes,Female,TUSMORE
Labrador Retriever,yes,Female,MAGILL
German Shepherd Dog,no,Female,BURNSIDE
Pomeranian Cross,no,Female,BEULAH PARK
Labrador Retriever,yes,Female,GLENUNGA
Mastif Cross,yes,Male,SKYE
German Shepherd Dog,no,Male,ROSSLYN PARK
German Shepherd Dog,yes,Female,GLEN OSMOND
Maltese Cross,yes,Female,BEAUMONT
