Breed,De-sexed,Gender,Suburb
Dalmatian                               ,Y,F,WESTBOURNE PARK                    
Tenterfield Terrier                     ,Y,F,CLARENCE GARDENS                   
Lhasa Apso                              ,Y,F,CUMBERLAND PARK                    
Whippet                                 ,Y,F,PANORAMA                           
Border Collie                           ,Y,F,TORRENS PARK                       
Cocker Spaniel                          ,Y,F,UPPER STURT                        
Alaskan Malamute                        ,Y,F,PANORAMA                           
Australian Silky Terrier                ,Y,F,HAWTHORN                           
King Charles Spaniel                    ,N,F,COROMANDEL VALLEY                  
Golden Retriever                        ,Y,F,NETHERBY                           
Golden Retriever                        ,Y,F,EDEN HILLS                         
Australian Kelpie                       ,Y,F,BELAIR                             
Labrador                                ,Y,F,BELLEVUE HEIGHTS                   
Cavalier King Charles Spaniel           ,Y,F,KINGSWOOD                          
Weimeraner                              ,Y,F,KINGSWOOD                          
Labrador                                ,Y,F,CLARENCE GARDENS                   
Spoodle                                 ,Y,F,TORRENS PARK                       
Poodle                                  ,Y,F,BELAIR                             
Border Collie                           ,Y,F,HAWTHORNDENE                       
Staffordshire Terrier                   ,Y,F,CRAFERS WEST                       
Border Collie                           ,Y,F,CUMBERLAND PARK                    
Labrador                                ,Y,F,CUMBERLAND PARK                    
Heeler                                  ,Y,F,CRAIGBURN FARM                     
Miniature Schnauzer                     ,Y,F,UPPER STURT                        
Golden Retriever                        ,Y,F,NETHERBY                           
Jack Russell Terrier                    ,Y,F,PASADENA                           
Maltese                                 ,Y,F,BELAIR                             
Maltese                                 ,Y,F,MITCHAM                            
Maltese                                 ,Y,F,URRBRAE                            
Staffordshire Bull Terrier              ,Y,F,GLENALTA                           
Shih Tzu                                ,Y,F,BLACKWOOD                          
Cavalier King Charles Spaniel           ,Y,F,HAWTHORN                           
Labrador                                ,Y,M,KINGSWOOD                          
Cavoodle                                ,Y,F,HAWTHORNDENE                       
Boxer                                   ,Y,F,PASADENA                           
Schnauzer Standard                      ,Y,M,COLONEL LIGHT GARDENS              
Australian Shepherd                     ,Y,M,NETHERBY                           
Australian Terrier                      ,Y,M,HAWTHORN                           
Maltese                                 ,N,M,MELROSE PARK                       
Australian Kelpie                       ,Y,M,CRAIGBURN FARM                     
Italian Greyhound                       ,Y,M,BELAIR                             
Labrador Retriever                      ,Y,M,KINGSWOOD                          
Australian Kelpie                       ,Y,M,HAWTHORNDENE                       
Italian Greyhound                       ,Y,M,NETHERBY                           
Australian Kelpie                       ,Y,F,TORRENS PARK                       
Heeler                                  ,Y,F,COLONEL LIGHT GARDENS              
Saluki                                  ,Y,F,CLAPHAM                            
German Shorthaired Pointer              ,Y,F,MITCHAM                            
Poodle                                  ,Y,M,BLACKWOOD                          
Shar Pei Chinese                        ,Y,M,KINGSWOOD                          
Australian Kelpie                       ,Y,F,CLAPHAM                            
Fox Terrier                             ,Y,F,EDEN HILLS                         
Staffordshire Terrier                   ,Y,F,PANORAMA                           
