Breed_Description,desexed,sex,Suburb
Dobermann,yes,Female,WATERLOO CORNER
German Shepherd Dog,yes,Female,MACDONALD PARK
Dobermann,yes,Male,WATERLOO CORNER
Dobermann,yes,Male,WATERLOO CORNER
Spaniel,no,Male,HILLIER
Spaniel,no,Male,HILLIER
Spaniel,no,Female,HILLIER
Spaniel,no,Female,HILLIER
Rottweiler,yes,Female,WATERLOO CORNER
Australian Cattle Dog,no,Male,ANGLE VALE
Australian Kelpie X,yes,Female,HILLBANK
Australian Cattle Dog,yes,Male,ELIZABETH DOWNS
Greyhound,yes,Female,ELIZABETH NORTH
Border Collie,no,Female,ELIZABETH PARK
Tenterfield Terrier,no,Male,BLAKEVIEW
Terrier X,yes,Female,WATERLOO CORNER
Poodle X,yes,Female,HILLBANK
Golden Retriever,no,Female,CRAIGMORE
Australian Cattle Dog X,no,Male,ONE TREE HILL
Australian Kelpie X,yes,Female,MUNNO PARA
Collie (Rough),no,Female,ANGLE VALE
Poodle (Toy),yes,Female,SMITHFIELD
Poodle (Miniature),no,Female,ELIZABETH DOWNS
Jack Russell Terrier,no,Male,HILLBANK
Poodle,yes,Female,ELIZABETH VALE
Poodle,no,Female,ELIZABETH NORTH
Maltese X,yes,Male,ONE TREE HILL
Poodle (Toy),no,Male,ELIZABETH VALE
Maltese,no,Female,ELIZABETH EAST
Jack Russell Terrier,no,Male,ANDREWS FARM
Poodle,yes,Female,CRAIGMORE
Chihuahua,yes,Male,ELIZABETH DOWNS
Australian Cattle Dog,no,Female,CRAIGMORE
Papillon X,no,Male,ELIZABETH PARK
Maltese X,no,Male,ELIZABETH SOUTH
Maltese,no,Female,DAVOREN PARK
Poodle (Toy),yes,Male,CRAIGMORE
Pomeranian X,no,Male,CRAIGMORE
Chihuahua X,yes,Male,CRAIGMORE
Jack Russell Terrier X,yes,Male,CRAIGMORE
Shih Tzu,no,Female,ELIZABETH NORTH
West Highland White Terrier,yes,Female,HILLBANK
Papillon,no,Male,ELIZABETH PARK
Jack Russell Terrier,no,Male,ELIZABETH EAST
Australian Cattle Dog,no,Female,ANGLE VALE
Australian Kelpie X,yes,Male,BIBARINGA
Staffordshire Bull Terrier X,no,Male,ELIZABETH PARK
Bearded Collie,no,Male,ELIZABETH EAST
Chihuahua,no,Male,CRAIGMORE
Tenterfield Terrier,no,Female,DAVOREN PARK
Staffordshire Bull Terrier X,no,Male,ELIZABETH NORTH
Poodle,no,Female,DAVOREN PARK
Chihuahua,no,Male,CRAIGMORE
Poodle,yes,Female,DAVOREN PARK
Fox Terrier (Smooth)  X,no,Female,SMITHFIELD
Jack Russell Terrier,yes,Female,MUNNO PARA WEST
Jack Russell Terrier,no,Male,ELIZABETH PARK
Siberian Husky,no,Female,CRAIGMORE
